_Id,_TagName,_Count,_ExcerptPostId,_WikiPostId
1,baseball,243,459,458
2,statistics,131,934,933
3,sabermetrics,8,1114,1113
5,running,70,52,51
11,rules,694,240,239
12,marathon,16,644,643
13,football,438,108,107
19,triathlon,11,1015,1014
21,records,59,725,724
23,road-racing,4,1634,1633
24,american-football,235,127,126
25,basketball,139,224,223
27,ice-hockey,77,648,647
31,snowboarding,26,1017,1016
33,skating,16,1171,1170
38,sailing,4,635,634
41,strategy,72,936,935
42,coaching,22,1642,1641
43,swimming,50,54,53
46,tennis,179,432,431
48,equipment,210,242,241
50,collegiate,54,258,257
55,table-tennis,55,438,437
57,volleyball,45,436,435
60,disc-golf,5,1638,1637
62,skiing,26,650,649
65,tactics,18,1162,1161
70,rugby,16,1013,1012
71,training,79,1081,1080
75,defense,12,1092,1091
79,golf,57,440,439
81,officiating,168,1087,1086
86,cricket,462,646,645
87,mlb,92,454,453
88,scoring,44,1075,1074
91,nfl,149,434,433
95,cycling,29,1019,1018
96,formations,35,1158,1157
97,terminology,137,1079,1078
100,olympics,57,1021,1020
105,boxing,7,865,864
108,nba,80,452,451
109,tournaments,53,1168,1167
115,field-hockey,5,1196,1195
116,indoor-climbing,8,1274,1273
117,climbing,11,660,659
118,history,135,1067,1066
120,track-and-field,20,1073,1072
125,squash,21,442,441
126,nhl,36,461,460
130,badminton,35,652,651
133,technique,129,932,931
136,formula-1,26,1085,1084
137,kayaking,6,585,584
139,bowling,12,1256,1255
142,archery,12,1129,1128
143,auto-racing,11,1096,1095
144,skateboarding,15,1270,1269
149,snooker,7,1268,1267
156,fantasy,3,830,829
161,international-sports,47,1966,1965
163,fencing,4,988,987
165,euro,9,1071,1070
172,technology,30,1164,1163
173,tour-de-france,7,1146,1145
174,performance,17,1177,1176
175,media,33,1187,1186
178,ultimate-frisbee,7,1205,1204
191,shooting,9,1322,1321
192,heptathlon,2,1324,1323
199,finances,52,1470,1469
200,injuries,40,1468,1467
209,kart-racing,5,1531,1530
214,curling,3,1648,1647
220,ranking,40,1976,1975
221,trivia,202,1632,1631
224,icc,57,1710,1709
230,fifa,28,1796,1795
231,uefa,22,1798,1797
242,venues,15,1980,1979
246,english-premier-league,28,1964,1963
247,team-dynamics,23,1962,1961
249,nascar,4,1972,1971
254,etiquette,13,2106,2105
258,martial-arts,3,2100,2099
259,scuba-diving,5,2368,2367
261,transaction,25,2195,2194
263,sports-psychology,14,2200,2199
265,betting,17,2234,2233
266,horse-racing,6,2673,2672
268,airsoft,14,2262,2261
269,wrestling,2,2366,2365
275,racquetball,4,2413,2412
278,awards,26,2477,2476
279,australian-rules-football,4,4297,4296
280,indian-premier-league,17,2562,2561
284,surfing,8,2640,2639
290,racket,29,2776,2775
291,wicket,27,2770,2769
298,gymnastics,4,2792,2791
299,maintenance,22,2794,2793
304,collectibles,5,2920,2919
305,cards,2,2922,2921
307,lacrosse,1,2931,2930
308,longboarding,5,2939,2938
309,softball,7,4222,4221
310,windsurfing,2,3005,3004
311,duckworth-lewis,9,3029,3028
323,doping,7,3178,3177
325,wakeboarding,1,3290,3289
326,water-sports,4,3292,3291
328,mma,3,3381,3380
329,competitive-eating,1,3482,3481
331,world-cup,49,3538,3537
333,universiade,1,4293,4292
336,foosball,3,3931,3930
337,racewalking,3,4226,4225
339,ice-skating,11,4224,4223
343,pool,17,3861,3860
345,atp,31,3890,3889
346,wta,23,3892,3891
347,x-games,1,3909,3908
348,pga-tour,3,3912,3911
349,interruption,18,3921,3920
350,participation,12,3946,3945
352,trampolining,1,4295,4294
353,biathlon,4,4306,4305
354,bobsleigh,2,4053,4052
355,helmet,4,4062,4061
356,skeleton,2,4057,4056
357,luge,2,4059,4058
358,figure-skating,3,4220,4219
360,jersey,18,4187,4186
362,tie-breaker,18,4210,4209
366,promotions,5,4248,4247
367,relegations,4,4250,4249
369,acquisition,1,4252,4251
370,draft,19,4254,4253
371,transfer,12,4256,4255
373,freestyle,6,4350,4349
374,butterfly,2,4352,4351
376,cricket-world-cup,11,4366,4365
382,spin,11,4677,4676
385,follow-through,3,4869,4868
387,grip,2,,
388,paralympics,1,4953,4952
389,roller-derby,2,5038,5037
397,language,4,5147,5146
398,lpga-tour,1,5149,5148
401,disabled-list,2,,
402,pro-wrestling,5,5290,5289
403,wwe,1,5292,5291
404,fans,7,5371,5370
405,pitching,19,7424,7423
406,darts,5,5374,5373
409,padel,1,5486,5485
416,dodgeball,2,5620,5619
418,beach-tennis,2,5691,5690
419,itf,3,5791,5790
420,stanley-cup,6,5793,5792
422,greyhound-racing,2,10533,10532
423,postseason,11,6917,6916
425,davis-cup,2,10484,10483
426,ittf,5,7004,7003
427,cfl,1,7014,7013
430,suspension,9,7038,7037
439,champions-league,11,7297,7296
440,serve,23,7302,7301
441,paintball,1,7325,7324
442,labor-relations,3,7343,7342
443,match-identification,1,8504,8503
447,mls,1,8564,8563
448,super-bowl,3,8702,8701
450,italian-longsword,1,8629,8628
453,cba,2,8826,8825
454,quidditch,4,12176,12175
455,rugby-union,20,8969,8968
456,schedule,8,12219,12218
457,amateur,2,9209,9208
460,gender,4,10517,10516
468,milb,5,10793,10792
472,open-water,1,11859,11858
473,kabaddi,1,11882,11881
474,eurobasket,1,,
476,untagged,1,12262,12261
481,rugby-league,2,12246,12245
482,beach-volleyball,2,12268,12267
485,paddle-tennis,1,,
486,dressage,1,12630,12629
487,titles,1,,
488,road-running,1,13025,13024
489,touch-rugby,1,13063,13062
490,sumo-wrestling,1,13171,13170
